question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"ચંદ્રયાન-૩ કયા વર્ષે ચંદ્ર પર ઉતર્યું?",2021,2022,2023,2024,C,"કરંટ અફેર્સ",easy,"૨૩ ઓગસ્ટ ૨૦૨૩ના રોજ સફળ ઉતરાણ થયું."
"ચંદ્ર પર સફળ ઉતરાણ કરનાર ભારત વિશ્વનો કેટલામો દેશ બન્યો?",બીજો,ત્રીજો,ચોથો,પાંચમો,C,"કરંટ અફેર્સ",medium,"રશિયા, અમેરિકા અને ચીન પછી ભારત ચોથો દેશ બન્યો."
"ISROનું સૂર્યનો અભ્યાસ કરતું મિશન કયું છે?",મંગળયાન,આદિત્ય-L1,ગગનયાન,નિસાર,B,"કરંટ અફેર્સ",medium,"આદિત્ય-L1 સૂર્યના અભ્યાસ માટેનું પ્રથમ ભારતીય મિશન છે."
"ISROનું માનવ અંતરિક્ષ ઉડાન મિશન કયું છે?",ગગનયાન,ચંદ્રયાન,આદિત્ય,મંગળયાન,A,"કરંટ અફેર્સ",medium,"ગગનયાન ભારતીયોને અંતરિક્ષમાં મોકલવાનું મિશન છે."
"ISROનું મુખ્યાલય કયા શહેરમાં આવેલું છે?",હૈદરાબાદ,બેંગલુરુ,ચેન્નઈ,પુણે,B,"કરંટ અફેર્સ",easy,"ISROનું મુખ્યાલય બેંગલુરુમાં છે."
"૨૦૨૩નું G20 શિખર સંમેલન કયા શહેરમાં યોજાયું હતું?",મુંબઈ,"નવી દિલ્હી",બેંગલુરુ,જયપુર,B,"કરંટ અફેર્સ",medium,"ભારત મંડપમ, નવી દિલ્હીમાં યોજાયું."
"૨૦૨૪નો T20 વર્લ્ડ કપ કયા દેશે જીત્યો?",ઓસ્ટ્રેલિયા,ભારત,ઇંગ્લેન્ડ,"દક્ષિણ આફ્રિકા",B,"કરંટ અફેર્સ",easy,"ભારતે દક્ષિણ આફ્રિકાને હરાવીને જીત્યો."
"૨૦૨૩નો એકદિવસીય વર્લ્ડ કપ કયા દેશે જીત્યો?",ભારત,ઓસ્ટ્રેલિયા,ન્યુઝીલેન્ડ,ઇંગ્લેન્ડ,B,"કરંટ અફેર્સ",medium,"અમદાવાદમાં રમાયેલી ફાઇનલમાં ઓસ્ટ્રેલિયા જીત્યું."
"૨૦૨૪ની ઓલિમ્પિક રમતો કયા શહેરમાં યોજાઈ હતી?",ટોક્યો,પેરિસ,"લોસ એન્જલસ",લંડન,B,"કરંટ અફેર્સ",easy,"પેરિસમાં ૨૦૨૪ની ઓલિમ્પિક યોજાઈ."
"નીરજ ચોપરા કઈ રમત સાથે સંકળાયેલા છે?",કુસ્તી,"ભાલા ફેંક",શૂટિંગ,બેડમિન્ટન,B,"કરંટ અફેર્સ",easy,"નીરજ ચોપરા ભાલા ફેંક એટલે જેવલિન થ્રોમાં ઓલિમ્પિક ચંદ્રક વિજેતા છે."
"મનુ ભાકર કઈ રમતમાં ઓલિમ્પિક ચંદ્રક જીત્યાં?",તીરંદાજી,શૂટિંગ,કુસ્તી,બોક્સિંગ,B,"કરંટ અફેર્સ",medium,"પેરિસ ૨૦૨૪માં શૂટિંગમાં બે કાંસ્ય ચંદ્રક જીત્યાં."
"ઓલિમ્પિકમાં ભારતનું પ્રથમ વ્યક્તિગત સુવર્ણ ચંદ્રક કોણે જીત્યું?","અભિનવ બિન્દ્રા","નીરજ ચોપરા","સુશીલ કુમાર","પી. વી. સિંધુ",A,"કરંટ અફેર્સ",hard,"૨૦૦૮ બેઇજિંગમાં શૂટિંગમાં અભિનવ બિન્દ્રાએ જીત્યું."
"ભારતના વર્તમાન રાષ્ટ્રપતિ કોણ છે?","રામનાથ કોવિંદ","દ્રૌપદી મુર્મુ","પ્રતિભા પાટીલ","પ્રણવ મુખર્જી",B,"કરંટ અફેર્સ",easy,"દ્રૌપદી મુર્મુ ૨૦૨૨થી રાષ્ટ્રપતિ છે."
"અયોધ્યામાં રામ મંદિરની પ્રાણ પ્રતિષ્ઠા કયા વર્ષે થઈ?",2022,2023,2024,2025,C,"કરંટ અફેર્સ",medium,"૨૨ જાન્યુઆરી ૨૦૨૪ના રોજ પ્રાણ પ્રતિષ્ઠા થઈ."
"ભારતનું નવું સંસદ ભવન કયા વર્ષે ખુલ્લું મુકાયું?",2021,2022,2023,2024,C,"કરંટ અફેર્સ",medium,"મે ૨૦૨૩માં નવું સંસદ ભવન રાષ્ટ્રને સમર્પિત થયું."
"વિશ્વનું સૌથી મોટું ક્રિકેટ સ્ટેડિયમ કયું છે?","ઈડન ગાર્ડન્સ","નરેન્દ્ર મોદી સ્ટેડિયમ",વાનખેડે,ચિન્નાસ્વામી,B,"કરંટ અફેર્સ",medium,"અમદાવાદનું નરેન્દ્ર મોદી સ્ટેડિયમ સૌથી મોટું છે."
"ભારતનું પ્રથમ સ્વદેશી વિમાનવાહક જહાજ કયું છે?","INS વિરાટ","INS વિક્રાંત","INS અરિહંત","INS દિલ્હી",B,"કરંટ અફેર્સ",medium,"INS વિક્રાંત ભારતમાં જ બનેલું પ્રથમ વિમાનવાહક જહાજ છે."
"વંદે ભારત શું છે?",ટ્રેન,વિમાન,ઉપગ્રહ,જહાજ,A,"કરંટ અફેર્સ",easy,"વંદે ભારત એ અર્ધ-હાઈસ્પીડ ટ્રેન છે."
"UPI મુખ્યત્વે શેના માટે વપરાય છે?","ડિજિટલ ચુકવણી","ટિકિટ બુકિંગ","વીજળી બચત","મોબાઇલ રિચાર્જ ગણતરી",A,"કરંટ અફેર્સ",easy,"યુનિફાઇડ પેમેન્ટ્સ ઇન્ટરફેસ ડિજિટલ ચુકવણી માટે છે."
"સ્વચ્છ ભારત અભિયાન કયા વર્ષે શરૂ થયું?",2012,2014,2016,2018,B,"કરંટ અફેર્સ",medium,"૨ ઓક્ટોબર ૨૦૧૪ના રોજ શરૂ થયું."
"ડિજિટલ ઇન્ડિયા અભિયાન કયા વર્ષે શરૂ થયું?",2013,2014,2015,2016,C,"કરંટ અફેર્સ",medium,"જુલાઈ ૨૦૧૫માં શરૂ થયું."
"આયુષ્માન ભારત યોજના શેની સાથે સંકળાયેલી છે?",શિક્ષણ,આરોગ્ય,ખેતી,આવાસ,B,"કરંટ અફેર્સ",medium,"ગરીબ પરિવારો માટેની આરોગ્ય વીમા યોજના છે."
"વસ્તીની દૃષ્ટિએ ભારત વિશ્વમાં કયા ક્રમે છે?",પ્રથમ,બીજો,ત્રીજો,ચોથો,A,"કરંટ અફેર્સ",medium,"૨૦૨૩થી ભારત વસ્તીમાં વિશ્વમાં પ્રથમ છે."
"ભારતમાં 5G સેવા કયા વર્ષે શરૂ થઈ?",2020,2021,2022,2023,C,"કરંટ અફેર્સ",medium,"ઓક્ટોબર ૨૦૨૨માં 5G સેવા શરૂ થઈ."
"ચંદ્રયાન-૩ કયા રોકેટથી પ્રક્ષેપિત થયું હતું?",PSLV,"GSLV Mk-II",LVM3,SSLV,C,"કરંટ અફેર્સ",hard,"LVM3 એટલે કે GSLV Mk-IIIથી પ્રક્ષેપણ થયું."
"આદિત્ય-L1 સૂર્યના અભ્યાસ માટે કયા બિંદુ પર સ્થાપિત થયું?",L1,L2,L3,L5,A,"કરંટ અફેર્સ",hard,"પૃથ્વી-સૂર્ય વચ્ચેના લેગ્રેન્જ બિંદુ L1 પર."
"ભારતનું પ્રથમ સંપૂર્ણ સાક્ષર રાજ્ય કયું ગણાય છે?",ગોવા,કેરળ,મિઝોરમ,તમિલનાડુ,B,"કરંટ અફેર્સ",medium,"કેરળ ભારતનું પ્રથમ સંપૂર્ણ સાક્ષર રાજ્ય ગણાય છે."
"ભારતીય રૂપિયાનું પ્રતીક ₹ કયા વર્ષે અપનાવાયું?",2005,2008,2010,2012,C,"કરંટ અફેર્સ",medium,"૨૦૧૦માં ₹ પ્રતીક સ્વીકારાયું."
"ભારતની અવકાશ સંસ્થાનું નામ શું છે?",NASA,ISRO,DRDO,CSIR,B,"કરંટ અફેર્સ",medium,"ઇન્ડિયન સ્પેસ રિસર્ચ ઓર્ગેનાઇઝેશન."
"ભારતના મંગળ મિશનનું નામ શું હતું?",મંગળયાન,આદિત્ય,ગગનયાન,નિસાર,A,"કરંટ અફેર્સ",hard,"મંગળયાન એટલે માર્સ ઓર્બિટર મિશન, ૨૦૧૩માં પ્રક્ષેપિત."
"પેરિસ ઓલિમ્પિક ૨૦૨૪માં ભારતે કુલ કેટલા ચંદ્રક જીત્યા?",4,5,6,7,C,"કરંટ અફેર્સ",hard,"એક રજત અને પાંચ કાંસ્ય મળીને કુલ છ ચંદ્રક."
"ગુજરાતમાં કયું શહેર ""ડાયમંડ સિટી"" તરીકે ઓળખાય છે?",રાજકોટ,સુરત,ભાવનગર,જામનગર,B,"કરંટ અફેર્સ",medium,"હીરા ઉદ્યોગને કારણે સુરત ડાયમંડ સિટી કહેવાય છે."
"પાણીનું રાસાયણિક સૂત્ર શું છે?",CO2,H2O,O2,NaCl,B,"જનરલ નોલેજ",easy,"બે હાઇડ્રોજન અને એક ઓક્સિજન પરમાણુ."
"સૂર્યમંડળનો સૌથી મોટો ગ્રહ કયો છે?",શનિ,ગુરુ,મંગળ,પૃથ્વી,B,"જનરલ નોલેજ",easy,"ગુરુ એટલે જ્યુપિટર સૌથી મોટો ગ્રહ છે."
"સૂર્યની સૌથી નજીકનો ગ્રહ કયો છે?",શુક્ર,બુધ,પૃથ્વી,મંગળ,B,"જનરલ નોલેજ",easy,"બુધ એટલે મર્ક્યુરી સૂર્યની સૌથી નજીક છે."
"મેઘધનુષમાં કેટલા રંગ હોય છે?",5,6,7,8,C,"જનરલ નોલેજ",easy,"સાત રંગ - જાંબલી, નીલો, વાદળી, લીલો, પીળો, નારંગી, લાલ."
"એક ડઝનમાં કેટલી વસ્તુઓ હોય છે?",10,12,14,16,B,"જનરલ નોલેજ",easy,"એક ડઝન એટલે બાર."
"પુખ્ત માનવ શરીરમાં કેટલા હાડકાં હોય છે?",186,196,206,216,C,"જનરલ નોલેજ",medium,"પુખ્ત વયે ૨૦૬ હાડકાં હોય છે."
"માનવ હૃદયમાં કેટલા ખંડ હોય છે?",2,3,4,6,C,"જનરલ નોલેજ",medium,"બે કર્ણક અને બે ક્ષેપક મળીને ચાર ખંડ."
"લોહીમાં ઓક્સિજન વહન કરતું તત્વ કયું છે?",પ્લાઝમા,હિમોગ્લોબિન,પ્લેટલેટ,કેલ્શિયમ,B,"જનરલ નોલેજ",medium,"લાલ રક્તકણોમાં રહેલું હિમોગ્લોબિન ઓક્સિજન વહન કરે છે."
"માનવ શરીરનું સૌથી મોટું અંગ કયું છે?",યકૃત,ત્વચા,હૃદય,ફેફસાં,B,"જનરલ નોલેજ",medium,"ત્વચા શરીરનું સૌથી મોટું અંગ છે."
"વિટામિન Cની ઉણપથી કયો રોગ થાય છે?",રિકેટ્સ,સ્કર્વી,બેરીબેરી,રાતાંધળાપણું,B,"જનરલ નોલેજ",hard,"સ્કર્વીમાં પેઢાંમાંથી લોહી નીકળે છે."
"છોડ પ્રકાશસંશ્લેષણમાં કયો વાયુ ગ્રહણ કરે છે?",ઓક્સિજન,નાઇટ્રોજન,"કાર્બન ડાયોક્સાઇડ",હાઇડ્રોજન,C,"જનરલ નોલેજ",easy,"છોડ કાર્બન ડાયોક્સાઇડ લઈ ઓક્સિજન છોડે છે."
"વાતાવરણમાં સૌથી વધુ પ્રમાણમાં કયો વાયુ છે?",ઓક્સિજન,નાઇટ્રોજન,"કાર્બન ડાયોક્સાઇડ",આર્ગોન,B,"જનરલ નોલેજ",medium,"હવામાં આશરે ૭૮% નાઇટ્રોજન છે."
"ઓરડાના તાપમાને પ્રવાહી હોય તેવી ધાતુ કઈ છે?",લોખંડ,પારો,તાંબુ,એલ્યુમિનિયમ,B,"જનરલ નોલેજ",medium,"પારો સામાન્ય તાપમાને પ્રવાહી રહે છે."
"સોનાનું રાસાયણિક પ્રતીક શું છે?",Ag,Au,Gd,Go,B,"જનરલ નોલેજ",hard,"લેટિન શબ્દ Aurum પરથી Au."
"ગુરુત્વાકર્ષણનો નિયમ કોણે આપ્યો?",આઇન્સ્ટાઇન,ન્યૂટન,ગેલિલિયો,એડિસન,B,"જનરલ નોલેજ",medium,"સર આઇઝેક ન્યૂટને ગુરુત્વાકર્ષણનો નિયમ આપ્યો."
"સાપેક્ષતાનો સિદ્ધાંત કોણે આપ્યો?",ન્યૂટન,આઇન્સ્ટાઇન,બોહર,મેક્સવેલ,B,"જનરલ નોલેજ",hard,"આલ્બર્ટ આઇન્સ્ટાઇને સાપેક્ષતાનો સિદ્ધાંત આપ્યો."
"ટેલિફોનની શોધ કોણે કરી?","થોમસ એડિસન","ગ્રેહામ બેલ",માર્કોની,ટેસ્લા,B,"જનરલ નોલેજ",medium,"એલેક્ઝાન્ડર ગ્રેહામ બેલે ટેલિફોનની શોધ કરી."
"વીજળીના બલ્બની શોધ કોણે કરી?","ગ્રેહામ બેલ","થોમસ એડિસન",ન્યૂટન,ફેરાડે,B,"જનરલ નોલેજ",medium,"થોમસ આલ્વા એડિસનને બલ્બની શોધનો શ્રેય મળે છે."
"વર્લ્ડ વાઇડ વેબની શોધ કોણે કરી?","બિલ ગેટ્સ","ટીમ બર્નર્સ-લી","સ્ટીવ જોબ્સ","ચાર્લ્સ બેબેજ",B,"જનરલ નોલેજ",hard,"૧૯૮૯માં ટીમ બર્નર્સ-લીએ WWW બનાવ્યું."
"કમ્પ્યુટરનું મગજ કોને કહેવામાં આવે છે?",RAM,CPU,"હાર્ડ ડિસ્ક",મોનિટર,B,"જનરલ નોલેજ",medium,"સેન્ટ્રલ પ્રોસેસિંગ યુનિટ કમ્પ્યુટરનું મગજ છે."
"RAM નું પૂરું નામ શું છે?","Random Access Memory","Read Access Memory","Rapid Access Memory","Real Access Memory",A,"જનરલ નોલેજ",medium,"રેન્ડમ એક્સેસ મેમરી."
"એક કિલોમીટરમાં કેટલા મીટર થાય?",100,500,1000,10000,C,"જનરલ નોલેજ",easy,"એક કિલોમીટર એટલે ૧૦૦૦ મીટર."
"ત્રિકોણના ત્રણેય ખૂણાનો સરવાળો કેટલો થાય?","90 અંશ","180 અંશ","270 અંશ","360 અંશ",B,"જનરલ નોલેજ",medium,"કોઈપણ ત્રિકોણના ખૂણાનો સરવાળો ૧૮૦ અંશ થાય."
"વર્તુળનું ક્ષેત્રફળ કયા સૂત્રથી મળે?",2πr,πr²,πd,4πr²,B,"જનરલ નોલેજ",hard,"ત્રિજ્યાના વર્ગ ગુણ્યા પાઈ."
"વિશ્વનું સૌથી ઊંચું પર્વત શિખર કયું છે?",K2,"માઉન્ટ એવરેસ્ટ",કંચનજંગા,મકાલુ,B,"જનરલ નોલેજ",easy,"માઉન્ટ એવરેસ્ટ ૮૮૪૮ મીટર ઊંચું છે."
"વિશ્વનો સૌથી મોટો મહાસાગર કયો છે?","હિંદ મહાસાગર","પેસિફિક મહાસાગર","એટલાન્ટિક મહાસાગર","આર્કટિક મહાસાગર",B,"જનરલ નોલેજ",easy,"પેસિફિક એટલે પ્રશાંત મહાસાગર સૌથી મોટો છે."
"વિશ્વનું સૌથી મોટું ગરમ રણ કયું છે?",થાર,સહારા,ગોબી,કાલાહારી,B,"જનરલ નોલેજ",medium,"આફ્રિકાનું સહારા સૌથી મોટું ગરમ રણ છે."
"વિશ્વની સૌથી લાંબી નદી કઈ ગણાય છે?",એમેઝોન,નાઇલ,યાંગ્ત્ઝે,મિસિસિપી,B,"જનરલ નોલેજ",medium,"નાઇલ નદી આશરે ૬૬૫૦ કિમી લાંબી છે."
"સૌથી ઝડપી દોડતું પ્રાણી કયું છે?",ઘોડો,ચિત્તો,સિંહ,હરણ,B,"જનરલ નોલેજ",easy,"ચિત્તો કલાકના ૧૦૦ કિમીથી વધુ ઝડપે દોડે છે."
"વિશ્વનું સૌથી મોટું પ્રાણી કયું છે?",હાથી,"વાદળી વ્હેલ",જિરાફ,ગેંડો,B,"જનરલ નોલેજ",medium,"વાદળી વ્હેલ પૃથ્વીનું સૌથી મોટું પ્રાણી છે."
"મધમાખી શું બનાવે છે?",રેશમ,મધ,મીણબત્તી,ગુંદર,B,"જનરલ નોલેજ",easy,"મધમાખી ફૂલોના રસમાંથી મધ બનાવે છે."
"પ્રકાશની ઝડપ આશરે કેટલી છે?","3 લાખ કિમી/સેકન્ડ","3 હજાર કિમી/સેકન્ડ","30 લાખ કિમી/સેકન્ડ","300 કિમી/સેકન્ડ",A,"જનરલ નોલેજ",medium,"શૂન્યાવકાશમાં આશરે ૩ લાખ કિલોમીટર પ્રતિ સેકન્ડ."
"પૃથ્વીનો એકમાત્ર કુદરતી ઉપગ્રહ કયો છે?",મંગળ,ચંદ્ર,શુક્ર,ટાઇટન,B,"જનરલ નોલેજ",medium,"ચંદ્ર પૃથ્વીનો એકમાત્ર કુદરતી ઉપગ્રહ છે."
"LED નું પૂરું નામ શું છે?","Light Emitting Diode","Low Energy Device","Light Energy Display","Linear Electric Diode",A,"જનરલ નોલેજ",hard,"લાઇટ એમિટિંગ ડાયોડ."
"એક અઠવાડિયામાં કેટલા દિવસ હોય છે?",5,6,7,8,C,"જનરલ નોલેજ",medium,"સાત દિવસનું એક અઠવાડિયું."
"ગણેશજીનું કયું નામ તેમના તૂટેલા દાંત સાથે જોડાયેલું છે?",લંબોદર,એકદંત,ગજાનન,વિનાયક,B,ધાર્મિકતા,medium,"એક દાંત હોવાથી તેઓ એકદંત કહેવાય છે."
"ભગવાન કૃષ્ણે ભગવદ્ ગીતાનો ઉપદેશ કોને આપ્યો હતો?",ભીમ,અર્જુન,યુધિષ્ઠિર,નકુલ,B,ધાર્મિકતા,easy,"કુરુક્ષેત્રના યુદ્ધ પહેલાં અર્જુનને ગીતાનો ઉપદેશ મળ્યો."
"રામ સાથે વનવાસમાં કયા ભાઈ ગયા હતા?",ભરત,લક્ષ્મણ,શત્રુઘ્ન,સુગ્રીવ,B,ધાર્મિકતા,easy,"લક્ષ્મણ ચૌદ વર્ષ રામ અને સીતા સાથે વનમાં રહ્યા."
"શ્રાવણ માસ કયા ભગવાનની ભક્તિ માટે વિશેષ ગણાય છે?",વિષ્ણુ,શિવ,બ્રહ્મા,સૂર્ય,B,ધાર્મિકતા,medium,"શ્રાવણ મહિનો ભગવાન શિવને પ્રિય મનાય છે."
"તુલસીનો છોડ કયા ભગવાનને પ્રિય મનાય છે?",શિવ,વિષ્ણુ,ગણેશ,સૂર્ય,B,ધાર્મિકતા,medium,"તુલસી ભગવાન વિષ્ણુને અત્યંત પ્રિય મનાય છે."
"આઝાદ હિંદ ફોજનું નેતૃત્વ કોણે કર્યું હતું?",ભગતસિંહ,"સુભાષચંદ્ર બોઝ","ચંદ્રશેખર આઝાદ","લાલા લજપતરાય",B,દેશભક્તિ,medium,"નેતાજી સુભાષચંદ્ર બોઝે આઝાદ હિંદ ફોજનું નેતૃત્વ કર્યું."
"મહાત્મા ગાંધીની હત્યા કયા વર્ષે થઈ હતી?",1946,1947,1948,1950,C,દેશભક્તિ,medium,"૩૦ જાન્યુઆરી ૧૯૪૮ના રોજ દિલ્હીમાં."
"ભારતના પ્રથમ ગૃહમંત્રી કોણ હતા?","જવાહરલાલ નહેરુ","સરદાર પટેલ","મૌલાના આઝાદ","રાજેન્દ્ર પ્રસાદ",B,દેશભક્તિ,easy,"સરદાર વલ્લભભાઈ પટેલ પ્રથમ ગૃહમંત્રી અને નાયબ વડાપ્રધાન હતા."
"ભારતનું બંધારણ ઘડવામાં કેટલો સમય લાગ્યો?","1 વર્ષ 6 મહિના","2 વર્ષ 11 મહિના 18 દિવસ","3 વર્ષ 2 મહિના","4 વર્ષ",B,દેશભક્તિ,hard,"બંધારણ સભાએ ૨ વર્ષ ૧૧ મહિના ૧૮ દિવસમાં બંધારણ તૈયાર કર્યું."
"રાષ્ટ્રગાન ""જન ગણ મન"" ગાવામાં કેટલો સમય લાગે છે?","30 સેકન્ડ","52 સેકન્ડ","90 સેકન્ડ","2 મિનિટ",B,દેશભક્તિ,medium,"નિર્ધારિત સમય ૫૨ સેકન્ડનો છે."
"વારાણસી કઈ નદીના કિનારે વસેલું છે?",યમુના,ગંગા,નર્મદા,ગોદાવરી,B,ભારતદર્શન,easy,"કાશી એટલે વારાણસી ગંગા કિનારે છે."
"ગુજરાતનું રાજ્ય પ્રાણી કયું છે?",વાઘ,"એશિયાઈ સિંહ",ચિત્તલ,ઊંટ,B,ભારતદર્શન,medium,"ગીરનો એશિયાઈ સિંહ ગુજરાતનું રાજ્ય પ્રાણી છે."
"ગુજરાતનું રાજ્ય પક્ષી કયું છે?",મોર,સુરખાબ,બગલો,કોયલ,B,ભારતદર્શન,hard,"સુરખાબ એટલે ફ્લેમિંગો ગુજરાતનું રાજ્ય પક્ષી છે."
"ગિરનાર પર્વત કયા શહેર પાસે આવેલો છે?",ભાવનગર,જૂનાગઢ,રાજકોટ,અમરેલી,B,ભારતદર્શન,medium,"ગિરનાર જૂનાગઢ પાસે આવેલો છે."
"નર્મદા નદીનું ઉદ્ગમ સ્થાન કયા રાજ્યમાં છે?",ગુજરાત,"મધ્ય પ્રદેશ",મહારાષ્ટ્ર,રાજસ્થાન,B,ભારતદર્શન,hard,"મધ્ય પ્રદેશના અમરકંટકમાંથી નર્મદા નીકળે છે."
"ચંદ્રયાન-૩નું પ્રક્ષેપણ કયા કેન્દ્રથી થયું હતું?",થુમ્બા,શ્રીહરિકોટા,અમદાવાદ,બેંગલુરુ,B,"કરંટ અફેર્સ",medium,"આંધ્ર પ્રદેશના શ્રીહરિકોટા ખાતેના સતીશ ધવન કેન્દ્રથી."
"ભારતના પ્રથમ મહિલા રાષ્ટ્રપતિ કોણ હતાં?","ઇન્દિરા ગાંધી","પ્રતિભા પાટીલ","દ્રૌપદી મુર્મુ","સરોજિની નાયડુ",B,"કરંટ અફેર્સ",medium,"પ્રતિભા પાટીલ ૨૦૦૭થી ૨૦૧૨ સુધી રાષ્ટ્રપતિ રહ્યાં."
"ભારતના પ્રથમ ઉપગ્રહનું નામ શું હતું?",ભાસ્કર,આર્યભટ્ટ,રોહિણી,INSAT,B,"કરંટ અફેર્સ",hard,"૧૯૭૫માં પ્રક્ષેપિત આર્યભટ્ટ ભારતનો પ્રથમ ઉપગ્રહ હતો."
"ચંદ્રયાન-૨ કયા વર્ષે પ્રક્ષેપિત થયું હતું?",2017,2018,2019,2020,C,"કરંટ અફેર્સ",medium,"જુલાઈ ૨૦૧૯માં ચંદ્રયાન-૨ પ્રક્ષેપિત થયું."
"૨૦૨૪ના T20 વર્લ્ડ કપની ફાઇનલ કયા દેશમાં રમાઈ હતી?",ભારત,બાર્બાડોસ,ઇંગ્લેન્ડ,"દક્ષિણ આફ્રિકા",B,"કરંટ અફેર્સ",hard,"વેસ્ટ ઇન્ડિઝના બાર્બાડોસમાં ફાઇનલ રમાઈ."
"કયો ગ્રહ ""લાલ ગ્રહ"" તરીકે ઓળખાય છે?",શુક્ર,મંગળ,ગુરુ,શનિ,B,"જનરલ નોલેજ",easy,"લોખંડના ઓક્સાઇડને કારણે મંગળ લાલ દેખાય છે."
"માનવ શરીરનું સૌથી મોટું આંતરિક અંગ કયું છે?",હૃદય,યકૃત,ફેફસાં,મૂત્રપિંડ,B,"જનરલ નોલેજ",medium,"યકૃત એટલે લિવર સૌથી મોટું આંતરિક અંગ છે."
"કમ્પ્યુટરના પિતા કોને કહેવામાં આવે છે?","ચાર્લ્સ બેબેજ","એલન ટ્યુરિંગ","બિલ ગેટ્સ","જ્હોન વોન ન્યુમેન",A,"જનરલ નોલેજ",hard,"ચાર્લ્સ બેબેજને કમ્પ્યુટરના પિતા કહેવાય છે."
"વિશ્વનો સૌથી નાનો ખંડ કયો છે?",યુરોપ,ઓસ્ટ્રેલિયા,એન્ટાર્કટિકા,"દક્ષિણ અમેરિકા",B,"જનરલ નોલેજ",easy,"ઓસ્ટ્રેલિયા સૌથી નાનો ખંડ છે."
"એક વર્ષમાં કેટલા મહિના 31 દિવસના હોય છે?",5,6,7,8,C,"જનરલ નોલેજ",medium,"જાન્યુઆરી, માર્ચ, મે, જુલાઈ, ઓગસ્ટ, ઓક્ટોબર અને ડિસેમ્બર."
