question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"દાર્જિલિંગ કયા રાજ્યમાં આવેલું છે?",સિક્કિમ,"પશ્ચિમ બંગાળ",આસામ,બિહાર,B,ભારતદર્શન,medium,"ચા માટે પ્રખ્યાત દાર્જિલિંગ પશ્ચિમ બંગાળમાં છે."
"ગુજરાતનો ક્ષેત્રફળની દૃષ્ટિએ સૌથી મોટો જિલ્લો કયો છે?",બનાસકાંઠા,કચ્છ,સુરેન્દ્રનગર,જામનગર,B,ભારતદર્શન,medium,"કચ્છ ભારતનો સૌથી મોટો જિલ્લો પણ છે."
"ગુજરાતનું સૌથી મોટું બંદર કયું છે?",પોરબંદર,કંડલા,ભાવનગર,વેરાવળ,B,ભારતદર્શન,hard,"કંડલા એટલે દીનદયાળ બંદર સૌથી મોટું છે."
"સોમનાથ મંદિર કયા જિલ્લામાં આવેલું છે?",જૂનાગઢ,"ગીર સોમનાથ",પોરબંદર,અમરેલી,B,ભારતદર્શન,medium,"ગીર સોમનાથ જિલ્લાના પ્રભાસ પાટણમાં."
"હડપ્પન બંદર લોથલ કયા જિલ્લામાં આવેલું છે?",કચ્છ,અમદાવાદ,ભાવનગર,સુરત,B,ભારતદર્શન,hard,"અમદાવાદ જિલ્લાના ધોળકા પાસે લોથલ છે."
"સ્ટેચ્યુ ઓફ યુનિટી કયા જિલ્લામાં આવેલી છે?",વડોદરા,નર્મદા,ભરૂચ,છોટાઉદેપુર,B,ભારતદર્શન,medium,"નર્મદા જિલ્લાના કેવડિયા ખાતે."
"ચાંપાનેર-પાવાગઢ પુરાતત્વીય ઉદ્યાન કયા રાજ્યમાં છે?","મધ્ય પ્રદેશ",ગુજરાત,રાજસ્થાન,મહારાષ્ટ્ર,B,ભારતદર્શન,hard,"ગુજરાતનું આ યુનેસ્કો વિશ્વ વારસાસ્થળ છે."
"ભારતનું સૌથી દક્ષિણનું બિંદુ કયું છે?",કન્યાકુમારી,"ઇન્દિરા પોઇન્ટ",રામેશ્વરમ,કોવલમ,B,ભારતદર્શન,hard,"નિકોબાર ટાપુઓનું ઇન્દિરા પોઇન્ટ સૌથી દક્ષિણે છે."
"નાગાલેન્ડની રાજધાની કઈ છે?",કોહિમા,દિમાપુર,ઇમ્ફાલ,આઇઝોલ,A,ભારતદર્શન,medium,"કોહિમા નાગાલેન્ડની રાજધાની છે."
"ભારતનું સૌથી વધુ વસ્તીવાળું શહેર કયું છે?",દિલ્હી,મુંબઈ,કોલકાતા,બેંગલુરુ,B,ભારતદર્શન,medium,"વસ્તીની દૃષ્ટિએ મુંબઈ સૌથી મોટું શહેર છે."
"ભારતનો સૌથી ઊંચો જળધોધ કયો છે?",જોગ,કુંચિકલ,દૂધસાગર,અથિરાપલ્લી,B,ભારતદર્શન,hard,"કર્ણાટકનો કુંચિકલ જળધોધ સૌથી ઊંચો ગણાય છે."
"ગોવા ભારતનું રાજ્ય કયા વર્ષે બન્યું?",1961,1975,1987,2000,C,ભારતદર્શન,medium,"૧૯૮૭માં ગોવાને રાજ્યનો દરજ્જો મળ્યો."
"ભારતીય રેલવેનું મુખ્યાલય કયા શહેરમાં આવેલું છે?",મુંબઈ,"નવી દિલ્હી",કોલકાતા,ચેન્નઈ,B,ભારતદર્શન,medium,"રેલ ભવન, નવી દિલ્હીમાં આવેલું છે."
"કાઝીરંગા રાષ્ટ્રીય ઉદ્યાન કયા રાજ્યમાં આવેલું છે?",આસામ,મેઘાલય,મણિપુર,ત્રિપુરા,A,ભારતદર્શન,medium,"આસામનું કાઝીરંગા એક શિંગડાવાળા ગેંડા માટે જાણીતું છે."
"ISROના પ્રથમ અધ્યક્ષ કોણ હતા?","સતીશ ધવન","વિક્રમ સારાભાઈ","એ.પી.જે. અબ્દુલ કલામ","કે. સિવન",B,"કરંટ અફેર્સ",medium,"ડૉ. વિક્રમ સારાભાઈ ભારતીય અવકાશ કાર્યક્રમના પિતા ગણાય છે."
"ભારતનું પ્રથમ રોકેટ કયા સ્થળેથી છોડાયું હતું?",શ્રીહરિકોટા,થુમ્બા,બેંગલુરુ,અમદાવાદ,B,"કરંટ અફેર્સ",hard,"કેરળના થુમ્બાથી ૧૯૬૩માં પ્રથમ રોકેટ છોડાયું."
"ભારતનું મંગળ મિશન કયા વર્ષે પ્રક્ષેપિત થયું?",2008,2013,2017,2019,B,"કરંટ અફેર્સ",medium,"નવેમ્બર ૨૦૧૩માં મંગળયાન પ્રક્ષેપિત થયું."
"મંગળ પર પ્રથમ પ્રયાસે પહોંચનાર વિશ્વનો પ્રથમ દેશ કયો છે?",અમેરિકા,ભારત,રશિયા,ચીન,B,"કરંટ અફેર્સ",hard,"ભારત પ્રથમ પ્રયાસે મંગળની કક્ષામાં પહોંચ્યું."
"NavIC શું છે?","ભારતીય નેવિગેશન સિસ્ટમ","નૌકાદળનું જહાજ","હવામાન ઉપગ્રહ",રોકેટ,A,"કરંટ અફેર્સ",hard,"ભારતની પોતાની દિશાદર્શક ઉપગ્રહ પ્રણાલી."
"ચંદ્રયાન-૧ કયા વર્ષે પ્રક્ષેપિત થયું હતું?",2005,2008,2011,2014,B,"કરંટ અફેર્સ",medium,"ઓક્ટોબર ૨૦૦૮માં ચંદ્રયાન-૧ પ્રક્ષેપિત થયું."
"ચંદ્રયાન-૧ની સૌથી મોટી શોધ કઈ હતી?","ચંદ્ર પર પાણીના અંશ","ચંદ્ર પર સોનું","ચંદ્ર પર હવા","ચંદ્ર પર છોડ",A,"કરંટ અફેર્સ",hard,"ચંદ્ર પર પાણીના અણુઓની હાજરી શોધાઈ."
"ISROનું સૌથી ભરોસાપાત્ર ગણાતું રોકેટ કયું છે?",PSLV,GSLV,SSLV,RLV,A,"કરંટ અફેર્સ",medium,"PSLV એ સૌથી વધુ સફળ પ્રક્ષેપણ કર્યાં છે."
"GST ભારતમાં કયા વર્ષે લાગુ થયો?",2014,2016,2017,2019,C,"કરંટ અફેર્સ",medium,"૧ જુલાઈ ૨૦૧૭થી GST અમલમાં આવ્યો."
"નોટબંધી કયા વર્ષે જાહેર થઈ હતી?",2014,2015,2016,2018,C,"કરંટ અફેર્સ",medium,"નવેમ્બર ૨૦૧૬માં ૫૦૦ અને ૧૦૦૦ની નોટો બંધ થઈ."
"પ્રધાનમંત્રી જન ધન યોજના કયા વર્ષે શરૂ થઈ?",2012,2014,2016,2018,B,"કરંટ અફેર્સ",medium,"ઓગસ્ટ ૨૦૧૪માં શરૂ થઈ."
"બેટી બચાવો બેટી પઢાવો અભિયાન કયા વર્ષે શરૂ થયું?",2013,2015,2017,2019,B,"કરંટ અફેર્સ",medium,"જાન્યુઆરી ૨૦૧૫માં હરિયાણાના પાણીપતથી શરૂ થયું."
"મેક ઇન ઇન્ડિયા અભિયાન કયા વર્ષે શરૂ થયું?",2012,2014,2016,2018,B,"કરંટ અફેર્સ",medium,"સપ્ટેમ્બર ૨૦૧૪માં શરૂ થયું."
"ભારતનો પ્રથમ બુલેટ ટ્રેન કોરિડોર કયો છે?",દિલ્હી-જયપુર,મુંબઈ-અમદાવાદ,ચેન્નઈ-બેંગલુરુ,દિલ્હી-લખનૌ,B,"કરંટ અફેર્સ",medium,"મુંબઈ-અમદાવાદ હાઈસ્પીડ રેલ કોરિડોર નિર્માણાધીન છે."
"કોવેક્સિન રસી કઈ ભારતીય કંપનીએ બનાવી?","સીરમ ઇન્સ્ટિટ્યૂટ","ભારત બાયોટેક",સિપ્લા,ઝાયડસ,B,"કરંટ અફેર્સ",medium,"હૈદરાબાદની ભારત બાયોટેકે ICMR સાથે બનાવી."
"કોવિશિલ્ડ રસી ભારતમાં કોણે બનાવી?","ભારત બાયોટેક","સીરમ ઇન્સ્ટિટ્યૂટ ઓફ ઇન્ડિયા","ડૉ. રેડ્ડીઝ",બાયોકોન,B,"કરંટ અફેર્સ",medium,"પુણેની સીરમ ઇન્સ્ટિટ્યૂટે બનાવી."
"ભારતનાં પ્રથમ મહિલા IPS અધિકારી કોણ હતાં?","કિરણ બેદી","મેધા પાટકર","સુષ્મા સ્વરાજ","નિર્મલા સીતારમણ",A,"કરંટ અફેર્સ",medium,"કિરણ બેદી ૧૯૭૨માં પ્રથમ મહિલા IPS બન્યાં."
"ભારતીય મૂળનાં પ્રથમ મહિલા અવકાશયાત્રી કોણ હતાં?","સુનીતા વિલિયમ્સ","કલ્પના ચાવલા","ટેસી થોમસ","રિતુ કરિધાલ",B,"કરંટ અફેર્સ",medium,"કલ્પના ચાવલા ૧૯૯૭માં અવકાશમાં ગયાં."
"અવકાશમાં જનાર પ્રથમ ભારતીય કોણ હતા?","રાકેશ શર્મા","કલ્પના ચાવલા","સુનીતા વિલિયમ્સ","અબ્દુલ કલામ",A,"કરંટ અફેર્સ",medium,"રાકેશ શર્મા ૧૯૮૪માં સોયુઝ મિશનમાં ગયા."
"રાકેશ શર્મા કયા વર્ષે અવકાશમાં ગયા હતા?",1975,1984,1991,1999,B,"કરંટ અફેર્સ",hard,"૧૯૮૪માં સોવિયેત મિશન સાથે અવકાશમાં ગયા."
"ભારતે હોકીમાં પ્રથમ ઓલિમ્પિક સુવર્ણ કયા વર્ષે જીત્યું?",1920,1928,1936,1948,B,"કરંટ અફેર્સ",hard,"૧૯૨૮ના એમ્સ્ટરડેમ ઓલિમ્પિકમાં."
"હોકીના જાદુગર તરીકે કોણ ઓળખાય છે?",ધ્યાનચંદ,"બલબીર સિંહ","ધનરાજ પિલ્લે","સરદાર સિંહ",A,"કરંટ અફેર્સ",medium,"મેજર ધ્યાનચંદ હોકીના જાદુગર કહેવાય છે."
"રાષ્ટ્રીય રમત દિવસ કઈ તારીખે ઉજવાય છે?","29 ઓગસ્ટ","15 જાન્યુઆરી","14 નવેમ્બર","5 સપ્ટેમ્બર",A,"કરંટ અફેર્સ",medium,"ધ્યાનચંદના જન્મદિવસે ૨૯ ઓગસ્ટે."
"ક્રિકેટમાં સૌપ્રથમ ૧૦૦ આંતરરાષ્ટ્રીય સદી કોણે ફટકારી?","વિરાટ કોહલી","સચિન તેંડુલકર","રિકી પોન્ટિંગ","રાહુલ દ્રવિડ",B,"કરંટ અફેર્સ",medium,"સચિન તેંડુલકરની ૧૦૦ આંતરરાષ્ટ્રીય સદી છે."
"૨૦૧૧નો ક્રિકેટ વર્લ્ડ કપ કયા દેશે જીત્યો?",ઓસ્ટ્રેલિયા,ભારત,શ્રીલંકા,પાકિસ્તાન,B,"કરંટ અફેર્સ",medium,"મુંબઈમાં ફાઇનલ જીતીને ભારત ચેમ્પિયન બન્યું."
"૧૯૮૩ના વર્લ્ડ કપ વિજેતા ભારતીય ટીમના કેપ્ટન કોણ હતા?","સુનીલ ગાવસ્કર","કપિલ દેવ","મોહિન્દર અમરનાથ","રવિ શાસ્ત્રી",B,"કરંટ અફેર્સ",medium,"કપિલ દેવની આગેવાનીમાં ભારત પ્રથમ વાર ચેમ્પિયન બન્યું."
"IPL ક્રિકેટ લીગ કયા વર્ષે શરૂ થઈ?",2006,2008,2010,2012,B,"કરંટ અફેર્સ",medium,"પ્રથમ IPL સીઝન ૨૦૦૮માં રમાઈ."
"ભારતે પ્રથમ પરમાણુ પરીક્ષણ કયા વર્ષે કર્યું?",1964,1974,1984,1998,B,"કરંટ અફેર્સ",hard,"૧૯૭૪માં પોખરણમાં ""સ્માઇલિંગ બુદ્ધ"" પરીક્ષણ થયું."
"પોખરણ-૨ પરમાણુ પરીક્ષણ કયા વર્ષે થયું?",1995,1998,2001,2005,B,"કરંટ અફેર્સ",hard,"મે ૧૯૯૮માં પોખરણ-૨ પરીક્ષણ થયું."
"ભારતના મિસાઇલ મેન તરીકે કોણ ઓળખાય છે?","વિક્રમ સારાભાઈ","એ.પી.જે. અબ્દુલ કલામ","હોમી ભાભા","સતીશ ધવન",B,"કરંટ અફેર્સ",medium,"ડૉ. કલામ મિસાઇલ કાર્યક્રમના મુખ્ય વૈજ્ઞાનિક હતા."
"ડૉ. એ.પી.જે. અબ્દુલ કલામ ભારતના કયા પદે રહ્યા હતા?",વડાપ્રધાન,રાષ્ટ્રપતિ,ઉપરાષ્ટ્રપતિ,રાજ્યપાલ,B,"કરંટ અફેર્સ",medium,"૨૦૦૨થી ૨૦૦૭ સુધી રાષ્ટ્રપતિ રહ્યા."
"ભારતમાં સૌપ્રથમ મેટ્રો રેલ કયા શહેરમાં શરૂ થઈ?",દિલ્હી,કોલકાતા,મુંબઈ,ચેન્નઈ,B,"કરંટ અફેર્સ",medium,"૧૯૮૪માં કોલકાતામાં પ્રથમ મેટ્રો શરૂ થઈ."
"આધાર કાર્ડ જારી કરનાર સંસ્થા કઈ છે?",RBI,UIDAI,NIC,SEBI,B,"કરંટ અફેર્સ",medium,"યુનિક આઇડેન્ટિફિકેશન ઓથોરિટી ઓફ ઇન્ડિયા."
"ભારતીય રિઝર્વ બેંકની સ્થાપના કયા વર્ષે થઈ?",1925,1935,1947,1950,B,"કરંટ અફેર્સ",hard,"૧ એપ્રિલ ૧૯૩૫ના રોજ RBI સ્થપાઈ."
"ભારતીય રિઝર્વ બેંકનું મુખ્યાલય કયા શહેરમાં છે?","નવી દિલ્હી",મુંબઈ,કોલકાતા,ચેન્નઈ,B,"કરંટ અફેર્સ",medium,"RBIનું મુખ્યાલય મુંબઈમાં છે."
"ભારતમાં નોટ છાપવાનો અધિકાર કોની પાસે છે?","નાણા મંત્રાલય","રિઝર્વ બેંક",SBI,સંસદ,B,"કરંટ અફેર્સ",medium,"એક રૂપિયાની નોટ સિવાય બધી RBI જારી કરે છે."
"આત્મનિર્ભર ભારત અભિયાન કયા વર્ષે જાહેર થયું?",2016,2018,2020,2022,C,"કરંટ અફેર્સ",medium,"મે ૨૦૨૦માં જાહેર થયું."
"ભારતનો પ્રથમ સંપૂર્ણ સ્વદેશી લડાયક વિમાન કયું છે?",તેજસ,રાફેલ,સુખોઈ,મિગ,A,"કરંટ અફેર્સ",hard,"HAL તેજસ ભારતમાં બનેલું હળવું લડાયક વિમાન છે."
"ડિજિટલ ચુકવણી માટેની ભારતીય એપ BHIM કોના નામ પરથી છે?","ભીમ પાંડવ","ડૉ. બી. આર. આંબેડકર","ભીમસેન જોશી","ભીમરાવ પટેલ",B,"કરંટ અફેર્સ",medium,"ભારત ઇન્ટરફેસ ફોર મની - ડૉ. ભીમરાવ આંબેડકરના નામે."
"ભારતનું પ્રથમ ખાનગી રીતે બનેલું રોકેટ કયું હતું?",વિક્રમ-S,તેજસ,અગ્નિ,પૃથ્વી,A,"કરંટ અફેર્સ",hard,"સ્કાયરૂટ એરોસ્પેસનું વિક્રમ-S ૨૦૨૨માં છોડાયું."
"આપણા સૂર્યમંડળમાં કુલ કેટલા ગ્રહ છે?",7,8,9,10,B,"જનરલ નોલેજ",easy,"૨૦૦૬થી પ્લુટોને ગ્રહ ગણાતો નથી, એટલે આઠ ગ્રહ છે."
"સૂર્યમંડળનો સૌથી ગરમ ગ્રહ કયો છે?",બુધ,શુક્ર,મંગળ,ગુરુ,B,"જનરલ નોલેજ",medium,"ઘટ્ટ વાતાવરણને કારણે શુક્ર સૌથી ગરમ છે."
"કયા ગ્રહની આસપાસ સ્પષ્ટ વલયો જોવા મળે છે?",ગુરુ,શનિ,મંગળ,નેપ્ચ્યુન,B,"જનરલ નોલેજ",medium,"શનિનાં વલયો સૌથી જાણીતાં છે."
"ચંદ્ર પર પગ મૂકનાર પ્રથમ માનવ કોણ હતા?","બઝ ઓલ્ડ્રિન","નીલ આર્મસ્ટ્રોંગ","યુરી ગાગરિન","માઇકલ કોલિન્સ",B,"જનરલ નોલેજ",medium,"૧૯૬૯માં નીલ આર્મસ્ટ્રોંગે ચંદ્ર પર પગ મૂક્યો."
"માનવ ચંદ્ર પર પ્રથમ વાર કયા વર્ષે ઉતર્યો?",1961,1965,1969,1972,C,"જનરલ નોલેજ",medium,"એપોલો-૧૧ મિશન ૧૯૬૯માં."
"પ્રકાશવર્ષ શું માપવા વપરાય છે?",સમય,અંતર,ઝડપ,વજન,B,"જનરલ નોલેજ",hard,"પ્રકાશ એક વર્ષમાં કાપે તેટલું અંતર."
"હવામાં ધ્વનિની ઝડપ આશરે કેટલી છે?","143 મી/સે","243 મી/સે","343 મી/સે","443 મી/સે",C,"જનરલ નોલેજ",hard,"સામાન્ય તાપમાને આશરે ૩૪૩ મીટર પ્રતિ સેકન્ડ."
"વિદ્યુત પ્રવાહનો એકમ કયો છે?",વોલ્ટ,એમ્પિયર,ઓહ્મ,વોટ,B,"જનરલ નોલેજ",medium,"એમ્પિયર વિદ્યુત પ્રવાહનો એકમ છે."
"બળનો એકમ કયો છે?",જૂલ,ન્યૂટન,પાસ્કલ,વોટ,B,"જનરલ નોલેજ",medium,"ન્યૂટન બળનો SI એકમ છે."
"શક્તિ એટલે પાવરનો એકમ કયો છે?",જૂલ,વોટ,ન્યૂટન,એમ્પિયર,B,"જનરલ નોલેજ",medium,"વોટ પાવરનો એકમ છે."
"તાપમાનનો SI એકમ કયો છે?",સેલ્સિયસ,કેલ્વિન,ફેરનહીટ,જૂલ,B,"જનરલ નોલેજ",hard,"કેલ્વિન તાપમાનનો SI એકમ છે."
"સામાન્ય દબાણે પાણી કયા તાપમાને ઉકળે છે?",50°C,90°C,100°C,120°C,C,"જનરલ નોલેજ",easy,"સમુદ્રસપાટીએ ૧૦૦ ડિગ્રી સેલ્સિયસે."
"પાણી કયા તાપમાને થીજી જાય છે?",0°C,4°C,10°C,'-10°C,A,"જનરલ નોલેજ",easy,"શૂન્ય ડિગ્રી સેલ્સિયસે પાણી બરફ બને છે."
"કુદરતમાં સૌથી કઠણ પદાર્થ કયો છે?",લોખંડ,હીરો,ગ્રેનાઇટ,સોનું,B,"જનરલ નોલેજ",medium,"હીરો સૌથી કઠણ કુદરતી પદાર્થ છે."
"સોનાની શુદ્ધતા કયા એકમમાં મપાય છે?",ગ્રામ,કેરેટ,તોલા,ઔંસ,B,"જનરલ નોલેજ",medium,"૨૪ કેરેટ એટલે શુદ્ધ સોનું."
"માનવ લોહીના મુખ્ય કેટલા ગ્રુપ છે?",2,3,4,6,C,"જનરલ નોલેજ",medium,"A, B, AB અને O એમ ચાર મુખ્ય ગ્રુપ."
"સાર્વત્રિક રક્તદાતા કયું રક્તગ્રુપ ગણાય છે?","A પોઝિટિવ","O નેગેટિવ","AB પોઝિટિવ","B નેગેટિવ",B,"જનરલ નોલેજ",hard,"O નેગેટિવ લોહી કોઈને પણ આપી શકાય."
"ઇન્સ્યુલિન શરીરમાં કયું અંગ બનાવે છે?",યકૃત,સ્વાદુપિંડ,મૂત્રપિંડ,બરોળ,B,"જનરલ નોલેજ",hard,"સ્વાદુપિંડ એટલે પેન્ક્રિયાસ ઇન્સ્યુલિન બનાવે છે."
"કિડનીનું મુખ્ય કામ શું છે?","લોહી શુદ્ધ કરવું","ખોરાક પચાવવો","શ્વાસ લેવો","લોહી બનાવવું",A,"જનરલ નોલેજ",medium,"કિડની લોહીમાંથી કચરો ગાળીને પેશાબ બનાવે છે."
"માનવ શરીરનું સૌથી નાનું હાડકું કયું છે?",સ્ટેપીસ,ફીમર,ટિબિયા,રેડિયસ,A,"જનરલ નોલેજ",hard,"કાનની અંદરનું સ્ટેપીસ સૌથી નાનું હાડકું છે."
"પુખ્ત માણસના મોંમાં કુલ કેટલા દાંત હોય છે?",28,30,32,36,C,"જનરલ નોલેજ",medium,"ડહાપણની દાઢ સહિત ૩૨ દાંત હોય છે."
"વિટામિન Aની ઉણપથી કયો રોગ થાય છે?",સ્કર્વી,રાતાંધળાપણું,રિકેટ્સ,એનિમિયા,B,"જનરલ નોલેજ",hard,"વિટામિન Aની ઉણપથી રાત્રે દેખાતું ઓછું થાય છે."
"સૂર્યપ્રકાશમાંથી શરીરને કયું વિટામિન મળે છે?","વિટામિન A","વિટામિન C","વિટામિન D","વિટામિન K",C,"જનરલ નોલેજ",medium,"સૂર્યપ્રકાશથી ત્વચામાં વિટામિન D બને છે."
"મલેરિયા કયા મચ્છરના કરડવાથી થાય છે?",એડિસ,એનોફિલિસ,ક્યુલેક્સ,માન્સોનિયા,B,"જનરલ નોલેજ",hard,"માદા એનોફિલિસ મચ્છર મલેરિયા ફેલાવે છે."
"ડેન્ગ્યુ કયા મચ્છરથી ફેલાય છે?",એનોફિલિસ,એડિસ,ક્યુલેક્સ,સેન્ડફ્લાય,B,"જનરલ નોલેજ",hard,"એડિસ ઇજિપ્તી મચ્છર ડેન્ગ્યુ ફેલાવે છે."
"પેનિસિલિનની શોધ કોણે કરી હતી?","લુઈ પાશ્ચર","એલેક્ઝાન્ડર ફ્લેમિંગ","રોબર્ટ કોચ","એડવર્ડ જેનર",B,"જનરલ નોલેજ",hard,"૧૯૨૮માં ફ્લેમિંગે પેનિસિલિન શોધ્યું."
"DNA નું પૂરું નામ શું છે?","Deoxyribonucleic acid","Dinucleic acid","Deoxy nucleic atom","Double nucleic acid",A,"જનરલ નોલેજ",hard,"ડીઓક્સીરાઇબોન્યુક્લિક એસિડ."
"કમ્પ્યુટર કઈ ભાષા સમજે છે?",અંગ્રેજી,બાઇનરી,જાવા,પાયથોન,B,"જનરલ નોલેજ",medium,"કમ્પ્યુટર ૦ અને ૧ની બાઇનરી ભાષા સમજે છે."
"એક કિલોબાઇટમાં કેટલા બાઇટ થાય છે?",100,1000,1024,2048,C,"જનરલ નોલેજ",hard,"કમ્પ્યુટરમાં ૧ KB એટલે ૧૦૨૪ બાઇટ."
"HTTP નું પૂરું નામ શું છે?","HyperText Transfer Protocol","High Transfer Text Protocol","Hyper Transfer Text Process","Home Text Transfer Protocol",A,"જનરલ નોલેજ",hard,"હાઇપરટેક્સ્ટ ટ્રાન્સફર પ્રોટોકોલ."
"માતૃભાષા તરીકે વિશ્વમાં સૌથી વધુ બોલાતી ભાષા કઈ છે?",અંગ્રેજી,"મેન્ડરિન ચાઇનીઝ",હિન્દી,સ્પેનિશ,B,"જનરલ નોલેજ",medium,"માતૃભાષા બોલનારાઓની સંખ્યામાં મેન્ડરિન પ્રથમ છે."
"ભારતમાં સૌથી વધુ બોલાતી ભાષા કઈ છે?",બંગાળી,હિન્દી,મરાઠી,તેલુગુ,B,"જનરલ નોલેજ",medium,"હિન્દી ભારતમાં સૌથી વધુ બોલાય છે."
"ક્ષેત્રફળની દૃષ્ટિએ વિશ્વનો સૌથી મોટો દેશ કયો છે?",કેનેડા,રશિયા,ચીન,અમેરિકા,B,"જનરલ નોલેજ",medium,"રશિયા ક્ષેત્રફળમાં સૌથી મોટો દેશ છે."
"વિશ્વનો સૌથી નાનો દેશ કયો છે?",મોનાકો,"વેટિકન સિટી",માલદીવ,"સાન મરીનો",B,"જનરલ નોલેજ",medium,"વેટિકન સિટી સૌથી નાનો સ્વતંત્ર દેશ છે."
"સંયુક્ત રાષ્ટ્ર સંઘની સ્થાપના કયા વર્ષે થઈ?",1919,1945,1950,1960,B,"જનરલ નોલેજ",medium,"બીજા વિશ્વયુદ્ધ પછી ૧૯૪૫માં UNOની સ્થાપના થઈ."
"સંયુક્ત રાષ્ટ્ર સંઘનું મુખ્યાલય કયા શહેરમાં છે?",જિનીવા,ન્યૂયોર્ક,પેરિસ,લંડન,B,"જનરલ નોલેજ",hard,"UNOનું મુખ્યાલય ન્યૂયોર્કમાં છે."
"ઓલિમ્પિક રમતો કેટલા વર્ષે યોજાય છે?",2,3,4,5,C,"જનરલ નોલેજ",medium,"દર ચાર વર્ષે ઓલિમ્પિક યોજાય છે."
"ઓલિમ્પિક ધ્વજમાં કેટલા વર્તુળ હોય છે?",4,5,6,7,B,"જનરલ નોલેજ",hard,"પાંચ વર્તુળ પાંચ ખંડોનું પ્રતીક છે."
"લીપ વર્ષમાં કેટલા દિવસ હોય છે?",364,365,366,367,C,"જનરલ નોલેજ",medium,"લીપ વર્ષમાં ફેબ્રુઆરી ૨૯ દિવસની હોવાથી ૩૬૬ દિવસ."
"એક નોટિકલ માઇલ આશરે કેટલા મીટર થાય?",1000,1609,1852,2000,C,"જનરલ નોલેજ",hard,"દરિયાઈ અંતર માપવાનો એકમ આશરે ૧૮૫૨ મીટર."
